order_id,customer_id,customer_name,product_id,product_name,category,price,quantity,total_amount,order_date,payment_method,city,state,country,status
ORD10000,CUST8111,Dylan Abbott,PROD236,Fiction,Books,173.79,2,347.58,2024-05-16,Cash,Port Shirley,Vermont,USA,Delivered
ORD10001,CUST3480,Jessica Murray,PROD872,Shoes,Clothing,942.1,2,1884.2,2024-06-03,Cash,Parksburgh,Maine,USA,Pending
ORD10002,CUST1980,Thomas Rush,PROD521,Microwave,Home Appliances,173.97,1,173.97,2025-02-01,PayPal,South Mark,Minnesota,USA,Delivered
ORD10003,CUST9848,Michael Myers,PROD336,Jacket,Clothing,44.73,1,44.73,2025-03-02,PayPal,Fergusonmouth,Michigan,USA,Canceled
ORD10004,CUST1759,Lauren Delgado,PROD866,Shampoo,Beauty,585.09,3,1755.27,2024-08-07,Credit Card,Port Carriestad,Florida,USA,Canceled
ORD10005,CUST4273,Michael Holmes,PROD782,Washing Machine,Home Appliances,315.75,4,1263.0,2024-11-16,Credit Card,Moorefurt,Vermont,USA,Delivered
ORD10006,CUST4763,Cassandra Wallace,PROD417,Fiction,Books,125.24,3,375.72,2024-06-21,Credit Card,Lake Janet,Florida,USA,Delivered
ORD10007,CUST4712,Jennifer Norman,PROD884,Washing Machine,Home Appliances,745.86,4,2983.44,2024-12-04,PayPal,Pattersonberg,Wyoming,USA,Canceled
ORD10008,CUST5757,Amber Jones,PROD824,Jeans,Clothing,502.07,4,2008.28,2025-02-11,Cash,North Amyborough,Nevada,USA,Pending
ORD10009,CUST6703,Corey Burton,PROD144,Science,Books,837.34,2,1674.68,2024-08-01,Credit Card,Watkinsburgh,North Carolina,USA,Pending
ORD10010,CUST7887,Jerry Parker,PROD455,Washing Machine,Home Appliances,625.43,4,2501.72,2025-01-05,PayPal,Tonyamouth,Louisiana,USA,Delivered
ORD10011,CUST5299,John Vasquez,PROD826,Perfume,Beauty,723.03,4,2892.12,2024-06-28,PayPal,West Charles,South Carolina,USA,Canceled
ORD10012,CUST8196,Brandon Romero,PROD169,Smartphone,Electronics,377.7,5,1888.5,2024-04-23,PayPal,Stewartburgh,Washington,USA,Pending
ORD10013,CUST4753,Daniel Patton,PROD772,Face Cream,Beauty,958.73,3,2876.19,2024-04-02,Cash,South Joseph,Mississippi,USA,Delivered
ORD10014,CUST6917,Katherine Morales,PROD887,Washing Machine,Home Appliances,82.46,1,82.46,2024-04-11,Credit Card,Reyesland,Idaho,USA,Pending
ORD10015,CUST6809,Jerry Cook,PROD822,Refrigerator,Home Appliances,448.41,2,896.82,2024-04-24,PayPal,East Austinshire,Missouri,USA,Canceled
ORD10016,CUST9812,Lisa Padilla,PROD508,Perfume,Beauty,646.78,1,646.78,2024-06-06,PayPal,East Brandonville,New Mexico,USA,Canceled
ORD10017,CUST8100,Amy Blake,PROD929,Headphones,Electronics,376.55,4,1506.2,2024-09-05,Cash,Samanthaberg,Delaware,USA,Delivered
ORD10018,CUST7602,Donald Banks,PROD338,Smartphone,Electronics,964.58,5,4822.9,2025-02-19,PayPal,West William,Kansas,USA,Delivered
ORD10019,CUST9643,Mr. Patrick Perez,PROD935,Tablet,Electronics,779.88,3,2339.64,2024-05-26,Cash,Cassandrachester,South Dakota,USA,Canceled
ORD10020,CUST4642,Vernon Gordon,PROD138,Vacuum Cleaner,Home Appliances,617.23,3,1851.69,2024-12-22,Cash,Port Debra,Idaho,USA,Pending
ORD10021,CUST4202,Alexander Johnston,PROD819,Washing Machine,Home Appliances,644.3,2,1288.6,2024-10-07,Credit Card,South Wayneburgh,Washington,USA,Canceled
ORD10022,CUST2362,Kathleen Collins,PROD228,Mystery,Books,845.37,2,1690.74,2024-05-14,PayPal,New Adam,Alabama,USA,Canceled
ORD10023,CUST8030,Angela Simpson,PROD500,Headphones,Electronics,307.04,2,614.08,2025-02-12,Credit Card,Campbellport,Indiana,USA,Pending
